repo,ai_category,provider_or_lib,capability,policy_status,risk,severity,file,line,snippet,owner,last_seen,remediation
filterprovisioningservice,Security,hardcoded_credential,Hardcoded Credential,CRITICAL,Critical,1,KafkaClient\testSln\ConsoleApp1\Program.cs,13,"        static void Main(string[] args)
        {
            string token = ""fs-dc"";
            CancellationTokenSource cts = new CancellationTokenSource();
","Ovadia, Heny",20260317_013723,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
filterprovisioningservice,Security,hardcoded_credential,Hardcoded Credential,CRITICAL,Critical,1,FSProvSrvc\ConfigurationRetreiver.cs,154,"        }

        private string m_Kafka_Prov_Response_Topic_Token = ""FS-provisioning_response"";
        public string ProvResponseTopicToken
        {","Ovadia, Heny",20260317_013723,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
filterprovisioningservice,Security,hardcoded_credential,Hardcoded Credential,CRITICAL,Critical,1,FSProvSrvc\ConfigurationRetreiver.cs,160,"        }

        private string m_Kafka_Prov_Request_Topic_Token = ""FS-fs_provisioning_request"";
        public string ProvRequestTopicToken
        {","Ovadia, Heny",20260317_013723,"Review this AI usage against the internal AI policy. Ensure the provider/library is approved, data handling is documented, and usage is logged."
